ident,lat,lon,speed,device_timestamp,server_timestamp,direction
359647090158986,53.967551,27.085122,102,2019-10-01 16:31:10+00,2019-10-01 19:31:11+00,321
359647090162137,59.898226,30.69108,104,2019-10-01 16:31:11+00,2019-10-01 19:31:12+00,79
359647090156261,53.578524,24.245702,82,2019-10-01 16:31:12+00,2019-10-01 19:31:13+00,278
359647090156055,53.640826,24.013155,93,2019-10-01 16:31:13+00,2019-10-01 19:31:14+00,306
359647090162277,53.882608,27.535433,42,2019-10-01 16:31:13+00,2019-10-01 19:31:14+00,195
359647090157996,53.64764,23.83486,17,2019-10-01 16:31:15+00,2019-10-01 19:31:16+00,144
359647090164307,59.136524,39.276368,106,2019-10-01 11:31:17+00,2019-10-01 19:31:18+00,255
359647090157996,53.647511,23.835082,27,2019-10-01 16:31:18+00,2019-10-01 19:31:19+00,123
351608088226043,55.678582,49.691275,85,2019-10-01 16:31:18+00,2019-10-01 19:31:19+00,300
359647090156089,53.649186,23.842451,32,2019-10-01 16:31:18+00,2019-10-01 19:31:19+00,74
359647090162277,53.882177,27.535351,25,2019-10-01 16:31:18+00,2019-10-01 19:31:19+00,169
359647090158937,53.707088,24.926606,89,2019-10-01 16:31:19+00,2019-10-01 19:31:20+00,241
359647090158986,53.969582,27.082422,101,2019-10-01 16:31:20+00,2019-10-01 19:31:21+00,320
359647090156097,,,,2019-10-01 19:31:20+00,2019-10-01 19:31:20+00,
359647090162137,59.898697,30.696202,105,2019-10-01 16:31:21+00,2019-10-01 19:31:22+00,80
359647090162277,53.882071,27.535448,23,2019-10-01 16:31:20+00,2019-10-01 19:31:22+00,138
359647090156261,53.578928,24.242317,78,2019-10-01 16:31:22+00,2019-10-01 19:31:23+00,283
359647090096954,,,,2019-10-01 19:31:22+00,2019-10-01 19:31:22+00,
359647090162277,53.882031,27.535604,19,2019-10-01 16:31:22+00,2019-10-01 19:31:23+00,110
359647090096954,55.915462,58.209306,0,2019-10-01 16:31:22+00,2019-10-01 19:31:23+00,306
359647090156055,53.642164,24.010031,89,2019-10-01 16:31:23+00,2019-10-01 19:31:24+00,305
359647090162277,,,,2019-10-01 19:31:24+00,2019-10-01 19:31:24+00,
359647090162301,,,,2019-10-01 19:31:25+00,2019-10-01 19:31:25+00,
359647090162277,53.881973,27.535815,16,2019-10-01 16:31:25+00,2019-10-01 19:31:26+00,132
359647090162277,53.881893,27.535884,16,2019-10-01 16:31:27+00,2019-10-01 19:31:28+00,172
359647090159935,,,,2019-10-01 19:31:27+00,2019-10-01 19:31:27+00,
359647090157996,53.647022,23.836428,42,2019-10-01 16:31:28+00,2019-10-01 19:31:29+00,130
359647090156089,53.649355,23.843631,25,2019-10-01 16:31:28+00,2019-10-01 19:31:29+00,75
351608088226043,55.679644,49.688013,86,2019-10-01 16:31:28+00,2019-10-01 19:31:30+00,301
359647090158937,53.706097,24.92338,85,2019-10-01 16:31:29+00,2019-10-01 19:31:30+00,241
359647090164307,59.135862,39.27128,107,2019-10-01 11:31:27+00,2019-10-01 19:31:30+00,256
359647090158986,53.971413,27.079562,102,2019-10-01 16:31:30+00,2019-10-01 19:31:31+00,313
359647090162137,59.899111,30.701337,105,2019-10-01 16:31:31+00,2019-10-01 19:31:32+00,80
359647090156261,53.579484,24.239022,82,2019-10-01 16:31:32+00,2019-10-01 19:31:33+00,286
359647090162277,53.88164,27.535824,20,2019-10-01 16:31:32+00,2019-10-01 19:31:33+00,193
359647090156055,53.643453,24.007022,89,2019-10-01 16:31:33+00,2019-10-01 19:31:34+00,306
359647090158986,,,,2019-10-01 19:31:36+00,2019-10-01 19:31:36+00,
359647090164307,59.135204,39.266275,104,2019-10-01 11:31:37+00,2019-10-01 19:31:38+00,255
359647090157996,53.646142,23.837564,45,2019-10-01 16:31:38+00,2019-10-01 19:31:39+00,145
351608088226043,55.680795,49.684902,83,2019-10-01 16:31:38+00,2019-10-01 19:31:39+00,305
359647090156089,53.649484,23.844408,13,2019-10-01 16:31:38+00,2019-10-01 19:31:39+00,70
359647090158937,53.705102,24.92026,86,2019-10-01 16:31:39+00,2019-10-01 19:31:40+00,242
359647090158986,53.973,27.076282,99,2019-10-01 16:31:40+00,2019-10-01 19:31:41+00,304
359647090162137,59.899502,30.706535,104,2019-10-01 16:31:41+00,2019-10-01 19:31:42+00,82
359647090156261,53.580164,24.235657,86,2019-10-01 16:31:42+00,2019-10-01 19:31:43+00,291
359647090156055,53.644742,24.003984,90,2019-10-01 16:31:43+00,2019-10-01 19:31:44+00,306
359647090162277,53.881511,27.535786,0,2019-10-01 16:31:44+00,2019-10-01 19:31:45+00,194
359647090164612,,,,2019-10-01 19:31:45+00,2019-10-01 19:31:45+00,
359647090161832,,,,2019-10-01 19:31:45+00,2019-10-01 19:31:45+00,
359647090162616,,,,2019-10-01 19:31:46+00,2019-10-01 19:31:46+00,
359647090158903,,,,2019-10-01 19:31:47+00,2019-10-01 19:31:47+00,
359647090164307,59.134542,39.261297,105,2019-10-01 11:31:47+00,2019-10-01 19:31:49+00,256
351608088226043,55.682128,49.681871,89,2019-10-01 16:31:48+00,2019-10-01 19:31:49+00,310
359647090156089,53.649577,23.845035,19,2019-10-01 16:31:48+00,2019-10-01 19:31:49+00,79
359647090157996,53.645164,23.838655,41,2019-10-01 16:31:48+00,2019-10-01 19:31:49+00,146
359647090158937,53.704057,24.916995,87,2019-10-01 16:31:49+00,2019-10-01 19:31:50+00,243
359647090156303,,,,2019-10-01 19:31:49+00,2019-10-01 19:31:49+00,
359647090158986,53.974324,27.072535,102,2019-10-01 16:31:50+00,2019-10-01 19:31:51+00,296
359647090157921,,,,2019-10-01 19:31:51+00,2019-10-01 19:31:51+00,
359647090162137,59.899795,30.711731,104,2019-10-01 16:31:51+00,2019-10-01 19:31:52+00,83
359647090156261,53.581102,24.232117,95,2019-10-01 16:31:52+00,2019-10-01 19:31:53+00,295
359647090156055,53.64604,24.000948,89,2019-10-01 16:31:53+00,2019-10-01 19:31:54+00,305
351608088226043,,,,2019-10-01 19:31:55+00,2019-10-01 19:31:55+00,
359647090164307,59.133871,39.256257,105,2019-10-01 11:31:57+00,2019-10-01 19:31:58+00,256
351608088226043,55.68368,49.679026,88,2019-10-01 16:31:58+00,2019-10-01 19:31:59+00,320
359647090156089,53.649657,23.84566,11,2019-10-01 16:31:58+00,2019-10-01 19:31:59+00,79
359647090158937,53.703004,24.913671,91,2019-10-01 16:31:59+00,2019-10-01 19:32:00+00,241
359647090158986,53.975293,27.06864,100,2019-10-01 16:32:00+00,2019-10-01 19:32:01+00,290
359647090162137,59.900048,30.716862,104,2019-10-01 16:32:01+00,2019-10-01 19:32:02+00,84
359647090156261,53.582128,24.228404,97,2019-10-01 16:32:02+00,2019-10-01 19:32:03+00,293
359647090158929,,,,2019-10-01 19:32:02+00,2019-10-01 19:32:02+00,
359647090156055,53.647333,23.997928,85,2019-10-01 16:32:03+00,2019-10-01 19:32:04+00,306
359647090164307,59.133226,39.251244,106,2019-10-01 11:32:07+00,2019-10-01 19:32:08+00,255
359647090156089,53.649755,23.84602,8,2019-10-01 16:32:08+00,2019-10-01 19:32:09+00,72
351608088226043,55.68548,49.676751,88,2019-10-01 16:32:08+00,2019-10-01 19:32:09+00,323
359647090157996,53.644271,23.839653,34,2019-10-01 16:32:08+00,2019-10-01 19:32:09+00,146
359647090158986,53.976173,27.06462,100,2019-10-01 16:32:10+00,2019-10-01 19:32:11+00,290
359647090162137,59.900213,30.722077,104,2019-10-01 16:32:11+00,2019-10-01 19:32:12+00,86
359647090158937,53.701853,24.910184,94,2019-10-01 16:32:09+00,2019-10-01 19:32:12+00,241
359647090156261,53.582973,24.224577,96,2019-10-01 16:32:12+00,2019-10-01 19:32:13+00,288
359647090162277,53.881204,27.535608,27,2019-10-01 16:32:12+00,2019-10-01 19:32:13+00,196
359647090156055,53.648551,23.995066,82,2019-10-01 16:32:13+00,2019-10-01 19:32:14+00,305
359647090158929,53.641431,23.84562,0,2019-10-01 16:32:15+00,2019-10-01 19:32:17+00,229
359647090158929,,,,2019-10-01 19:32:16+00,2019-10-01 19:32:16+00,
359647090164307,59.132577,39.24624,106,2019-10-01 11:32:17+00,2019-10-01 19:32:18+00,255
359647090157996,53.643373,23.840737,46,2019-10-01 16:32:18+00,2019-10-01 19:32:19+00,145
359647090156089,53.649911,23.846508,10,2019-10-01 16:32:18+00,2019-10-01 19:32:19+00,68
351608088226043,55.687168,49.674337,83,2019-10-01 16:32:18+00,2019-10-01 19:32:19+00,318
359647090158986,53.977017,27.060651,99,2019-10-01 16:32:20+00,2019-10-01 19:32:21+00,287
359647090162137,59.900346,30.727291,105,2019-10-01 16:32:21+00,2019-10-01 19:32:22+00,86
359647090158044,,,,2019-10-01 19:32:21+00,2019-10-01 19:32:21+00,
359647090162277,53.880248,27.535246,46,2019-10-01 16:32:22+00,2019-10-01 19:32:23+00,193
359647090156261,53.583662,24.220671,95,2019-10-01 16:32:22+00,2019-10-01 19:32:23+00,283
359647090164323,,,,2019-10-01 19:32:25+00,2019-10-01 19:32:25+00,
359647090156170,,,,2019-10-01 19:32:25+00,2019-10-01 19:32:25+00,
359647090164307,59.131906,39.241173,108,2019-10-01 11:32:27+00,2019-10-01 19:32:28+00,256
359647090156055,53.649715,23.992255,85,2019-10-01 16:32:23+00,2019-10-01 19:32:28+00,305
359647090157996,53.642368,23.841931,48,2019-10-01 16:32:28+00,2019-10-01 19:32:29+00,145
359647090156089,53.650017,23.846953,12,2019-10-01 16:32:28+00,2019-10-01 19:32:29+00,61
351608088226043,55.688613,49.671933,75,2019-10-01 16:32:28+00,2019-10-01 19:32:29+00,314
359647090156311,,,,2019-10-01 19:32:29+00,2019-10-01 19:32:29+00,
359647090158911,,,,2019-10-01 19:32:30+00,2019-10-01 19:32:30+00,
359647090158986,53.977666,27.05662,96,2019-10-01 16:32:30+00,2019-10-01 19:32:31+00,281
359647090162137,59.90048,30.732486,105,2019-10-01 16:32:31+00,2019-10-01 19:32:33+00,87
359647090156261,53.584146,24.216753,94,2019-10-01 16:32:32+00,2019-10-01 19:32:33+00,278
359647090162277,53.879164,27.534862,41,2019-10-01 16:32:32+00,2019-10-01 19:32:33+00,192
359647090156055,53.65096,23.989224,91,2019-10-01 16:32:33+00,2019-10-01 19:32:34+00,301
359647090158937,53.700733,24.90668,95,2019-10-01 16:32:19+00,2019-10-01 19:32:35+00,242
359647090158937,53.6996,24.903173,95,2019-10-01 16:32:29+00,2019-10-01 19:32:36+00,242
359647090162277,53.878711,27.534562,37,2019-10-01 16:32:37+00,2019-10-01 19:32:38+00,214
359647090157996,53.641364,23.843066,47,2019-10-01 16:32:38+00,2019-10-01 19:32:39+00,142
359647090156089,53.650124,23.847368,7,2019-10-01 16:32:38+00,2019-10-01 19:32:39+00,65
351608088226043,55.689862,49.669533,72,2019-10-01 16:32:38+00,2019-10-01 19:32:39+00,311
359647090164307,59.131248,39.236151,105,2019-10-01 11:32:37+00,2019-10-01 19:32:40+00,255
359647090158937,53.698493,24.89964,94,2019-10-01 16:32:39+00,2019-10-01 19:32:40+00,242
359647090164307,,,,2019-10-01 19:32:39+00,2019-10-01 19:32:39+00,
359647090158986,53.978093,27.052562,97,2019-10-01 16:32:40+00,2019-10-01 19:32:41+00,275
359647090156261,53.584364,24.21278,95,2019-10-01 16:32:42+00,2019-10-01 19:32:43+00,273
359647090156055,53.652026,23.985693,91,2019-10-01 16:32:43+00,2019-10-01 19:32:44+00,289
359647090162137,59.900555,30.737691,105,2019-10-01 16:32:41+00,2019-10-01 19:32:45+00,89
359647090162277,53.877786,27.533377,53,2019-10-01 16:32:47+00,2019-10-01 19:32:48+00,217
359647090157996,53.640404,23.844153,54,2019-10-01 16:32:48+00,2019-10-01 19:32:49+00,145
359647090158937,53.697404,24.896106,93,2019-10-01 16:32:49+00,2019-10-01 19:32:50+00,242
359647090158986,53.978248,27.048364,98,2019-10-01 16:32:50+00,2019-10-01 19:32:51+00,271
359647090157996,,,,2019-10-01 19:32:51+00,2019-10-01 19:32:51+00,
351608088226043,55.691026,49.667155,70,2019-10-01 16:32:48+00,2019-10-01 19:32:52+00,312
359647090162137,59.90052,30.742891,104,2019-10-01 16:32:51+00,2019-10-01 19:32:52+00,87
359647090156261,53.584373,24.208715,96,2019-10-01 16:32:52+00,2019-10-01 19:32:53+00,267
359647090156055,53.652573,23.981897,93,2019-10-01 16:32:53+00,2019-10-01 19:32:54+00,281
359647090162277,53.876977,27.532275,24,2019-10-01 16:32:57+00,2019-10-01 19:32:58+00,217
359647090157996,53.639207,23.845608,59,2019-10-01 16:32:58+00,2019-10-01 19:32:59+00,145
359647090161725,,,,2019-10-01 19:32:59+00,2019-10-01 19:32:59+00,
359647090164307,59.130573,39.231088,108,2019-10-01 11:32:47+00,2019-10-01 19:32:59+00,256
359647090164307,59.129906,39.225857,109,2019-10-01 11:32:57+00,2019-10-01 19:33:00+00,255
351608088226043,55.692262,49.664875,73,2019-10-01 16:32:58+00,2019-10-01 19:33:00+00,313
359647090158937,53.696311,24.8927,89,2019-10-01 16:32:59+00,2019-10-01 19:33:00+00,242
359647090158986,53.978191,27.044091,103,2019-10-01 16:33:00+00,2019-10-01 19:33:01+00,269
359647090156261,53.584244,24.204668,95,2019-10-01 16:33:02+00,2019-10-01 19:33:03+00,267
359647090156055,53.653026,23.978035,94,2019-10-01 16:33:03+00,2019-10-01 19:33:04+00,282
359647090162137,59.900804,30.74808,104,2019-10-01 16:33:01+00,2019-10-01 19:33:05+00,81
359647090156089,,,,2019-10-01 19:33:05+00,2019-10-01 19:33:05+00,
359647090164307,59.129222,39.220706,108,2019-10-01 11:33:07+00,2019-10-01 19:33:08+00,255
359647090158168,,,,2019-10-01 19:33:08+00,2019-10-01 19:33:08+00,
351608088226043,55.693457,49.662302,76,2019-10-01 16:33:08+00,2019-10-01 19:33:09+00,305
359647090157996,53.637995,23.846984,56,2019-10-01 16:33:08+00,2019-10-01 19:33:09+00,144
359647090158937,53.695253,24.889415,88,2019-10-01 16:33:09+00,2019-10-01 19:33:10+00,242
359647090158986,53.978115,27.039722,102,2019-10-01 16:33:10+00,2019-10-01 19:33:11+00,269
359647090162137,59.90128,30.753235,105,2019-10-01 16:33:11+00,2019-10-01 19:33:12+00,78
359647090156261,53.584106,24.200533,96,2019-10-01 16:33:12+00,2019-10-01 19:33:13+00,266
359647090156055,53.653506,23.974104,95,2019-10-01 16:33:13+00,2019-10-01 19:33:14+00,281
359647090164307,59.128533,39.2156,104,2019-10-01 11:33:17+00,2019-10-01 19:33:18+00,255
359647090162277,53.876497,27.531544,30,2019-10-01 16:33:17+00,2019-10-01 19:33:18+00,221
359647090157996,53.636831,23.84834,58,2019-10-01 16:33:18+00,2019-10-01 19:33:19+00,146
351608088226043,55.694555,49.659466,78,2019-10-01 16:33:18+00,2019-10-01 19:33:19+00,302
359647090158937,53.694142,24.886022,93,2019-10-01 16:33:19+00,2019-10-01 19:33:20+00,241
359647090156089,53.650244,23.847542,0,2019-10-01 16:33:19+00,2019-10-01 19:33:20+00,5
359647090158986,53.978288,27.035395,102,2019-10-01 16:33:20+00,2019-10-01 19:33:21+00,276
359647090156261,53.583968,24.196544,95,2019-10-01 16:33:22+00,2019-10-01 19:33:23+00,267
359647090156261,,,,2019-10-01 19:33:22+00,2019-10-01 19:33:22+00,
359647090156055,,,,2019-10-01 19:33:24+00,2019-10-01 19:33:24+00,
359647090156055,53.653973,23.970222,94,2019-10-01 16:33:23+00,2019-10-01 19:33:24+00,281
359647090164307,59.127871,39.210577,110,2019-10-01 11:33:27+00,2019-10-01 19:33:28+00,255
359647090162277,53.875848,27.530728,20,2019-10-01 16:33:27+00,2019-10-01 19:33:28+00,211
359647090162137,59.901782,30.758288,103,2019-10-01 16:33:21+00,2019-10-01 19:33:28+00,79
359647090157996,53.635653,23.849724,56,2019-10-01 16:33:28+00,2019-10-01 19:33:29+00,145
351608088226043,55.695577,49.65648,79,2019-10-01 16:33:28+00,2019-10-01 19:33:29+00,300
